@relation dados

@attribute loja {SantanaShopping, PinheirosShopping}
@attribute mes {Fevereiro, Marco}
@attribute hora {Manha, Tarde, Noite}
@attribute fluxo {SemFluxo, FluxoBaixo, FluxoModerado, FluxoAlto}
@attribute fluxoVitrine {VitrineNenhumMovimento, VitrineBaixo, VitrineMedio, VitrineAlto}
@attribute temperatura {Frio, Normal, Quente}
@attribute chuva {MuitaChuva,Chuva,Sol}
@attribute atendimento {Nenhum,1-5,6-10,11-14,15-19}

@data
SantanaShopping,Marco,Manha,FluxoModerado,VitrineMedio,Normal,Chuva,1-5
SantanaShopping,Marco,Noite,FluxoModerado,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Frio,Sol,6-10
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Quente,Sol,6-10
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Frio,MuitaChuva,1-5
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Frio,MuitaChuva,1-5
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Normal,MuitaChuva,1-5
SantanaShopping,Fevereiro,Noite,FluxoModerado,VitrineMedio,Quente,Chuva,Nenhum
SantanaShopping,Marco,Manha,FluxoModerado,VitrineMedio,Normal,Chuva,1-5
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Frio,Chuva,1-5
SantanaShopping,Fevereiro,Noite,FluxoModerado,VitrineMedio,Quente,Sol,Nenhum
SantanaShopping,Marco,Noite,FluxoModerado,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Fevereiro,Noite,FluxoModerado,VitrineMedio,Quente,Sol,6-10
SantanaShopping,Marco,Manha,FluxoModerado,VitrineMedio,Normal,Sol,1-5
SantanaShopping,Fevereiro,Noite,FluxoBaixo,VitrineMedio,Quente,Chuva,Nenhum
SantanaShopping,Fevereiro,Noite,FluxoBaixo,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Fevereiro,Noite,FluxoBaixo,VitrineMedio,Quente,Sol,Nenhum
PinheirosShopping,Fevereiro,Tarde,FluxoBaixo,VitrineMedio,Quente,Sol,Nenhum
SantanaShopping,Marco,Manha,FluxoBaixo,VitrineMedio,Frio,Sol,Nenhum
SantanaShopping,Marco,Manha,FluxoBaixo,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Marco,Noite,FluxoBaixo,VitrineMedio,Normal,Chuva,Nenhum
SantanaShopping,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Normal,Sol,Nenhum
SantanaShopping,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Fevereiro,Noite,SemFluxo,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Frio,Sol,1-5
