@relation dados

@attribute Loja {SantanaShopping, PinheirosShopping}
@attribute DiaDaSemana {segunda-feira, terca-feira, quarta-feira, quinta-feira, sexta-feira, Sabado, domingo}
@attribute Mes {Fevereiro, Marco}
@attribute PeriodoDoDia {Manha, Tarde, Noite}
@attribute Fluxo {SemFluxo, FluxoBaixo, FluxoModerado, FluxoAlto}
@attribute FluxoDaVitrine {VitrineNenhumMovimento, VitrineBaixo, VitrineMedio, VitrineAlto}
@attribute Temperatura {Frio, Morno, Quente, MuitoQuente}
@attribute PrevisaoDoTempo {SemChuva, PoucaChuva, ChuvaLeve, ChuvaModerada, ChuvaForte, Tempestade}
@attribute Atendimentos {SemAtendimento, 1-3Atendimentos, 4-6Atendimentos, 7-9Atendimentos, 10-12Atendimentos, 13-15Atendimentos, 19Atendimentos}

@data
SantanaShopping,segunda-feira,Fevereiro,Noite,FluxoBaixo,VitrineMedio,MuitoQuente,SemChuva,1-3Atendimentos
SantanaShopping,segunda-feira,Fevereiro,Noite,SemFluxo,VitrineMedio,MuitoQuente,SemChuva,1-3Atendimentos
SantanaShopping,segunda-feira,Fevereiro,Noite,SemFluxo,VitrineMedio,MuitoQuente,SemChuva,SemAtendimento
SantanaShopping,terca-feira,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Frio,Tempestade,1-3Atendimentos
SantanaShopping,terca-feira,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Frio,Tempestade,4-6Atendimentos
SantanaShopping,terca-feira,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Quente,Tempestade,SemAtendimento
SantanaShopping,terca-feira,Fevereiro,Tarde,FluxoBaixo,VitrineMedio,Quente,Tempestade,1-3Atendimentos
SantanaShopping,terca-feira,Fevereiro,Tarde,FluxoBaixo,VitrineBaixo,Quente,Tempestade,4-6Atendimentos
SantanaShopping,terca-feira,Fevereiro,Tarde,FluxoBaixo,VitrineBaixo,Quente,Tempestade,4-6Atendimentos
SantanaShopping,terca-feira,Fevereiro,Tarde,FluxoBaixo,VitrineMedio,Quente,Tempestade,4-6Atendimentos
SantanaShopping,terca-feira,Fevereiro,Tarde,FluxoBaixo,VitrineMedio,Quente,Tempestade,1-3Atendimentos
SantanaShopping,terca-feira,Fevereiro,Tarde,FluxoBaixo,VitrineMedio,MuitoQuente,Tempestade,4-6Atendimentos
SantanaShopping,terca-feira,Fevereiro,Noite,FluxoBaixo,VitrineMedio,MuitoQuente,Tempestade,SemAtendimento
SantanaShopping,terca-feira,Fevereiro,Noite,FluxoModerado,VitrineBaixo,MuitoQuente,Tempestade,4-6Atendimentos
SantanaShopping,terca-feira,Fevereiro,Noite,FluxoModerado,VitrineMedio,MuitoQuente,Tempestade,4-6Atendimentos
SantanaShopping,terca-feira,Fevereiro,Noite,FluxoBaixo,VitrineMedio,MuitoQuente,Tempestade,SemAtendimento
SantanaShopping,quarta-feira,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Morno,SemChuva,1-3Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Morno,SemChuva,1-3Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Morno,SemChuva,SemAtendimento
SantanaShopping,quarta-feira,Fevereiro,Tarde,FluxoBaixo,VitrineMedio,Morno,SemChuva,1-3Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Tarde,FluxoBaixo,VitrineBaixo,Morno,SemChuva,4-6Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Tarde,FluxoBaixo,VitrineMedio,Morno,SemChuva,1-3Atendimentos
