@relation dados

@attribute loja {ShoppingA, ShoppingB}
@attribute diaSemana {segunda, terca, quarta, quinta, sexta, sabado, domingo}
@attribute diaMes real
@attribute mes {Fevereiro, Marco}
@attribute hora real
@attribute fluxo real
@attribute fluxoVitrine real
@attribute temperatura real
@attribute umidade real
@attribute nebulosidade real
@attribute chuva real
@attribute atendimento {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}

@data
ShoppingA,terca,14,Fevereiro,21,41,209,31.8,39,8,0.0,1
ShoppingA,terca,14,Fevereiro,22,18,4,31.8,39,8,0.0,0
ShoppingA,quarta,15,Fevereiro,10,8,117,26.1,64,6,0.0,1
ShoppingA,quarta,15,Fevereiro,11,21,27,26.1,64,6,0.0,1
ShoppingA,quarta,15,Fevereiro,12,20,77,25.6,70,3,0.0,3
ShoppingA,quarta,15,Fevereiro,13,37,98,25.6,70,3,0.0,5
ShoppingA,quarta,15,Fevereiro,14,62,156,25.6,70,3,0.0,1
ShoppingA,quarta,15,Fevereiro,15,51,273,25.6,70,3,0.0,3
ShoppingA,quarta,15,Fevereiro,16,64,86,25.6,70,3,0.0,5
ShoppingA,quarta,15,Fevereiro,17,77,60,25.6,70,3,0.0,0
ShoppingA,quarta,15,Fevereiro,18,58,168,30.9,44,9,0.0,5
ShoppingA,quarta,15,Fevereiro,19,40,98,30.9,44,9,0.0,10
ShoppingA,quarta,15,Fevereiro,20,66,174,30.9,44,9,0.0,3
ShoppingA,quarta,15,Fevereiro,21,52,16,30.9,44,9,0.0,3
ShoppingA,quarta,15,Fevereiro,22,17,257,30.9,44,9,0.0,0
ShoppingA,quinta,16,Fevereiro,10,9,251,26.0,66,1,0.0,2
ShoppingA,quinta,16,Fevereiro,11,29,98,26.0,66,1,0.0,2
ShoppingA,quinta,16,Fevereiro,12,32,64,26.3,59,3,0.0,0
ShoppingA,quinta,16,Fevereiro,13,44,186,26.3,59,3,0.0,1
ShoppingA,quinta,16,Fevereiro,14,98,170,26.3,59,3,0.0,1
ShoppingA,quinta,16,Fevereiro,15,104,14,26.3,59,3,0.0,7
ShoppingA,quinta,16,Fevereiro,16,78,109,26.3,59,3,0.0,5
ShoppingA,quinta,16,Fevereiro,17,112,299,26.3,59,3,0.0,1
ShoppingA,quinta,16,Fevereiro,18,70,48,29.1,63,10,0.0,3
ShoppingA,quinta,16,Fevereiro,19,125,260,29.1,63,10,0.0,3
ShoppingA,quinta,16,Fevereiro,20,134,36,29.1,63,10,0.0,2
ShoppingA,quinta,16,Fevereiro,21,127,284,29.1,63,10,0.0,4
ShoppingA,quinta,16,Fevereiro,22,0,12,29.1,63,10,0.0,0
ShoppingA,sexta,17,Fevereiro,10,10,165,25.4,61,3,0.0,2
ShoppingA,sexta,17,Fevereiro,11,27,80,25.4,61,3,0.0,2
ShoppingA,sexta,17,Fevereiro,12,16,57,27.6,59,0,0.0,4
ShoppingA,sexta,17,Fevereiro,13,42,155,27.6,59,0,0.0,8
ShoppingA,sexta,17,Fevereiro,14,44,91,27.6,59,0,0.0,5
ShoppingA,sexta,17,Fevereiro,15,53,220,27.6,59,0,0.0,3
ShoppingA,sexta,17,Fevereiro,16,44,91,27.6,59,0,0.0,4
ShoppingA,sexta,17,Fevereiro,17,25,104,27.6,59,0,0.0,2
ShoppingA,sexta,17,Fevereiro,18,33,109,33.0,38,6,0.0,3
ShoppingA,sexta,17,Fevereiro,19,28,168,33.0,38,6,0.0,6
ShoppingA,sexta,17,Fevereiro,20,85,302,33.0,38,6,0.0,11
ShoppingA,sexta,17,Fevereiro,21,93,407,33.0,38,6,0.0,9
ShoppingA,sexta,17,Fevereiro,22,30,146,33.0,38,6,0.0,0
ShoppingA,sabado,18,Fevereiro,10,17,116,26.5,55,4,0.0,1
ShoppingA,sabado,18,Fevereiro,11,22,92,26.5,55,4,0.0,8
ShoppingA,sabado,18,Fevereiro,12,70,102,25.8,54,0,0.0,10
ShoppingA,sabado,18,Fevereiro,13,72,163,25.8,54,0,0.0,13
ShoppingA,sabado,18,Fevereiro,14,112,16,25.8,54,0,0.0,10
ShoppingA,sabado,18,Fevereiro,15,96,611,25.8,54,0,0.0,6
ShoppingA,sabado,18,Fevereiro,16,75,307,25.8,54,0,0.0,10
ShoppingA,sabado,18,Fevereiro,17,99,335,25.8,54,0,0.0,10
ShoppingA,sabado,18,Fevereiro,18,117,383,33.6,35,5,0.0,13
ShoppingA,sabado,18,Fevereiro,19,56,317,33.6,35,5,0.0,4
ShoppingA,sabado,18,Fevereiro,20,85,16,33.6,35,5,0.0,8
ShoppingA,sabado,18,Fevereiro,21,86,701,33.6,35,5,0.0,8
ShoppingA,sabado,18,Fevereiro,22,16,18,33.6,35,5,0.0,0
ShoppingA,domingo,19,Fevereiro,10,4,10,26.3,41,8,0.0,0
ShoppingA,domingo,19,Fevereiro,11,44,19,26.3,41,8,0.0,0
ShoppingA,domingo,19,Fevereiro,12,17,331,26.6,64,0,0.0,0
ShoppingA,domingo,19,Fevereiro,13,37,3,26.6,64,0,0.0,2
ShoppingA,domingo,19,Fevereiro,14,24,23,26.6,64,0,0.0,5
ShoppingA,domingo,19,Fevereiro,15,80,259,26.6,64,0,0.0,6
ShoppingA,domingo,19,Fevereiro,16,56,477,26.6,64,0,0.0,13
ShoppingA,domingo,19,Fevereiro,17,52,509,26.6,64,0,0.0,5
ShoppingA,domingo,19,Fevereiro,18,36,431,32.7,41,9,0.0,6
ShoppingA,domingo,19,Fevereiro,19,27,348,32.7,41,9,0.0,7
ShoppingA,domingo,19,Fevereiro,20,13,227,32.7,41,9,0.0,4
ShoppingA,domingo,19,Fevereiro,21,112,22,32.7,41,9,0.0,0
ShoppingA,domingo,19,Fevereiro,22,0,6,32.7,41,9,0.0,0
ShoppingA,segunda,20,Fevereiro,10,14,249,26.0,65,1,0.0,3
ShoppingA,segunda,20,Fevereiro,11,14,54,26.0,65,1,0.0,1
ShoppingA,segunda,20,Fevereiro,12,20,96,26.0,70,5,0.0,2
ShoppingA,segunda,20,Fevereiro,13,20,95,26.0,70,5,0.0,5
ShoppingA,segunda,20,Fevereiro,14,35,176,26.0,70,5,0.0,3
ShoppingA,segunda,20,Fevereiro,15,26,173,26.0,70,5,0.0,7
ShoppingA,segunda,20,Fevereiro,16,50,116,26.0,70,5,0.0,5
ShoppingA,segunda,20,Fevereiro,17,16,101,26.0,70,5,0.0,3
ShoppingA,segunda,20,Fevereiro,18,49,111,29.9,55,3,0.0,3
ShoppingA,segunda,20,Fevereiro,19,40,93,29.9,55,3,0.0,4
ShoppingA,segunda,20,Fevereiro,20,43,54,29.9,55,3,0.0,4
ShoppingA,segunda,20,Fevereiro,21,35,192,29.9,55,3,0.0,1
ShoppingA,segunda,20,Fevereiro,22,8,2,29.9,55,3,0.0,0
ShoppingA,terca,21,Fevereiro,10,6,248,25.2,66,6,0.0,0
